"","species","trophic","microhabitat","volume","mass","volume_log","family","order","total_ab","total_ab_log","total_ab_SS1","total_ab_SS2","total_ab_SS3","total_ab_SS1_log","total_ab_SS2_log","total_ab_SS3_log"
"1","B_Callibaetis","Non_Pred","benthic",12.5625,0.95,2.60730863130068,"Baetidae","Ephemeroptera",14,2.63905732961526,3,5,6,1.38629436111989,1.79175946922805,1.94591014905531
"2","C_Caenis","Non_Pred","benthic",17.52899255,0.26,2.91933667022777,"Caenidae","Ephemeroptera",155,5.04342511691925,19,105,31,2.99573227355399,4.66343909411207,3.46573590279973
"3","Ceratopogonidae","Non_Pred","benthic",0.653061224,0.24,0.502628856265516,"Ceratopogonidae","Diptera",6,1.79175946922805,2,3,1,1.09861228866811,1.38629436111989,0.693147180559945
"4","C_Chaoborus","Non_Pred","nektonic",4.29154519,0.31,1.66611029962668,"Chaoboridae","Diptera",68,4.21950770517611,0,4,64,0,1.6094379124341,4.17438726989564
"5","C_Apedilum","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",4,1.38629436111989,0,4,0,0,1.6094379124341,0
"6","C_Asheum","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",399,5.98896141688986,3,36,360,1.38629436111989,3.61091791264422,5.88887795833288
"7","C_Beardius","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",3,1.09861228866811,0,1,2,0,0.693147180559945,1.09861228866811
"8","C_Caladomyia","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",38,3.63758615972639,0,38,0,0,3.66356164612965,0
"9","C_Chironomus","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",534,6.2803958389602,24,340,170,3.2188758248682,5.83188247728352,5.14166355650266
"10","C_Goeldchironomus","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",1455,7.28276117960559,299,619,537,5.7037824746562,6.42971947803914,6.28785856016178
"11","C_Parachironomus","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",3,1.09861228866811,0,2,1,0,1.09861228866811,0.693147180559945
"12","C_Polypedilum","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",1436,7.26961674960817,20,875,541,3.04452243772342,6.77536609093639,6.29526600143965
"13","C_Tanytarsini","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",7214,8.88377886146348,10,925,6279,2.39789527279837,6.83087423464618,8.74512525946224
"14","C_T_Ablabesmyia","Non_Pred","benthic",3.275672174,0.33,1.45294132371301,"Chironomidae","Diptera",363,5.89440283426485,1,64,298,0.693147180559945,4.17438726989564,5.70044357339069
"15","C_T_Labrundinia","Non_Pred","benthic",3.275672174,0.33,1.45294132371301,"Chironomidae","Diptera",9,2.19722457733622,0,2,7,0,1.09861228866811,2.07944154167984
"16","C_T_Larsia","Non_Pred","benthic",3.275672174,0.33,1.45294132371301,"Chironomidae","Diptera",100,4.60517018598809,0,27,73,0,3.3322045101752,4.30406509320417
"17","C_Oxyagrion","Pr","benthic",8.735025,0.68,2.27573020687428,"Coenagrionidae","Odonata",5,1.6094379124341,0,1,4,0,0.693147180559945,1.6094379124341
"18","C_Tenagobia","Non_Pred","nektonic",1.723712657,0.09,1.00199589704044,"Corixidae","Hemiptera",3,1.09861228866811,0,3,0,0,1.38629436111989,0
"19","C_Heterocorixa","Non_Pred","nektonic",16.734375,1.82,2.87550484655583,"Corixidae","Hemiptera",1,0,0,0,1,0,0,0.693147180559945
"20","C_Culex","Non_Pred","pleustonic",2.418745276,0.42,1.22927360539561,"Culicidae","Diptera",707,6.56103066589657,276,340,91,5.62401750618734,5.83188247728352,4.52178857704904
"21","D_Rhantus","Pr","nektonic",387.5235,36.28,5.9623536570388,"Dytiscidae","Coleoptera",14,2.63905732961526,2,7,5,1.09861228866811,2.07944154167984,1.79175946922805
"22","D_Hydaticus","Pr","nektonic",210.15288,27,5.35258242087964,"Dytiscidae","Coleoptera",1,0,0,1,0,0,0.693147180559945,0
"23","D_Thermonectus","Pr","nektonic",0.507015278,0.06,0.41013105761553,"Dytiscidae","Coleoptera",3,1.09861228866811,1,0,2,0.693147180559945,0,1.09861228866811
"24","D_Derovatellus","Pr","nektonic",2.595435354,0.2,1.27966508370193,"Dytiscidae","Coleoptera",2,0.693147180559945,0,2,0,0,1.09861228866811,0
"25","G_Rheumatobates","Pr","pleustonic",38,4.37,3.66356164612965,"Gerridae","Hemiptera",1,0,0,1,0,0,0.693147180559945,0
"26","H_Berosus","Pr","nektonic",5.017338692,1.02,1.79464508383469,"Hydrophilidae","Coleoptera",4,1.38629436111989,1,0,3,0.693147180559945,0,1.38629436111989
"27","H_Tropisternus","Pr","nektonic",231.376376,19.66,5.44835836748723,"Hydrophilidae","Coleoptera",2,0.693147180559945,2,0,0,1.09861228866811,0,0
"28","L_Erythrodiplax","Pr","benthic",163.4775,4.96,5.10277378273495,"Libellulidae","Odonata",465,6.14203740558736,0,95,370,0,4.56434819146784,5.91620206260743
"29","L_Orthemis","Pr","benthic",52.5,2.6,3.97968165390196,"Libellulidae","Odonata",87,4.46590811865458,0,39,48,0,3.68887945411394,3.89182029811063
"30","L_Pantala","Pr","benthic",1054.38432,29,6.96166026393492,"Libellulidae","Odonata",349,5.85507192220243,78,112,159,4.36944785246702,4.72738781871234,5.07517381523383
"31","N_Ctenipocoris","Pr","nektonic",27.421875,2.04,3.34715909515845,"Naucoridae","Hemiptera",1,0,0,0,1,0,0,0.693147180559945
"32","N_Hydrocanthus","Pr","benthic",3.138666009,0.42,1.42037351586488,"Noteridae","Coleoptera",1,0,0,0,1,0,0,0.693147180559945
"33","N_Buenoa","Pr","nektonic",34.428,4.77,3.56750246794734,"Notonectidae","Hemiptera",139,4.93447393313069,3,61,75,1.38629436111989,4.12713438504509,4.33073334028633
"34","N_Notonecta","Pr","nektonic",118.10502,13.05,4.78000562492723,"Notonectidae","Hemiptera",6,1.79175946922805,1,4,1,0.693147180559945,1.6094379124341,0.693147180559945
"35","P_Campsurus","Non_Pred","benthic",68.810112,5.01,4.2457788703357,"Polymitarcyidae","Ephemeroptera",10,2.30258509299405,0,6,4,0,1.94591014905531,1.6094379124341
"36","V_Microvelia","Pr","pleustonic",3.43791,0.3,1.49018354489964,"Veliidae","Hemiptera",1097,7.00033446027523,134,489,474,4.90527477843843,6.19440539110467,6.16331480403464
